date,salescount
10/4/2018,44
10/5/2018,42
10/6/2018,43
10/7/2018,28
10/8/2018,34
10/9/2018,30
10/10/2018,49
10/11/2018,49
10/12/2018,44
10/13/2018,35
10/14/2018,20
10/15/2018,50
10/16/2018,47
10/17/2018,37
10/18/2018,50
10/19/2018,59
10/20/2018,30
10/21/2018,25
10/22/2018,60
10/23/2018,53
10/24/2018,65
10/25/2018,51
10/26/2018,37
10/27/2018,26
10/28/2018,19
10/29/2018,49
10/30/2018,53
10/31/2018,46
11/1/2018,60
11/2/2018,51
11/3/2018,32
11/4/2018,22
11/5/2018,49
11/6/2018,40
11/7/2018,42
11/8/2018,51
11/9/2018,50
11/10/2018,28
11/11/2018,21
11/12/2018,34
11/13/2018,33
11/14/2018,51
11/15/2018,37
11/16/2018,42
11/17/2018,27
11/18/2018,24
11/19/2018,43
11/20/2018,34
11/21/2018,34
11/23/2018,18
11/24/2018,25
11/25/2018,22
11/26/2018,45
11/27/2018,42
11/28/2018,59
11/29/2018,41
11/30/2018,36
12/1/2018,33
12/2/2018,25
12/3/2018,37
12/4/2018,38
12/5/2018,42
12/6/2018,40
12/7/2018,30
12/8/2018,32
12/9/2018,18
12/10/2018,32
12/11/2018,36
12/12/2018,36
12/13/2018,44
12/14/2018,31
12/15/2018,26
12/16/2018,17
12/17/2018,38
12/18/2018,36
12/19/2018,38
12/20/2018,34
12/21/2018,26
12/22/2018,18
12/23/2018,17
12/26/2018,32
12/27/2018,38
12/28/2018,32
12/29/2018,29
12/30/2018,19
12/31/2018,5
1/2/2019,42
1/3/2019,45
1/4/2019,42
1/5/2019,31
1/6/2019,25
1/7/2019,49
1/8/2019,41
1/9/2019,39
1/10/2019,44
1/11/2019,41
1/12/2019,42
1/13/2019,27
1/14/2019,52
1/15/2019,40
1/16/2019,48
1/17/2019,43
1/18/2019,41
1/19/2019,43
1/20/2019,25
1/21/2019,35
1/22/2019,36
1/23/2019,43
1/24/2019,45
1/25/2019,41
1/26/2019,32
1/27/2019,23
